SITEVISITID,ISLAND,SITE,REEF_ZONE,LATITUDE,LONGITUDE,DEPTH,DEPTH_BIN,DATE_,OBS_YEAR,ANALYSIS_YEAR
2472,Jarvis,JAR-00100,Forereef,-0.37371,-160.01273,21,Deep,1/4/10,2010,2010
2481,Jarvis,JAR-00101,Forereef,-0.36575,-160.00652,21.5,Deep,2/4/10,2010,2010
2480,Jarvis,JAR-00102,Forereef,-0.37041,-160.00931,20.5,Deep,2/4/10,2010,2010
2471,Jarvis,JAR-00103,Forereef,-0.38161,-160.01151,24,Deep,1/4/10,2010,2010
2493,Jarvis,JAR-00104,Forereef,-0.38256,-159.98035,23,Deep,3/4/10,2010,2010
2491,Jarvis,JAR-00105,Forereef,-0.38238,-159.99066,23,Deep,3/4/10,2010,2010
2487,Jarvis,JAR-00106,Forereef,-0.37661,-159.97189,19,Deep,3/4/10,2010,2010
2506,Jarvis,JAR-00107,Forereef,-0.36227,-159.99339,23,Deep,4/4/10,2010,2010
2502,Jarvis,JAR-00108,Forereef,-0.363692,-159.98663,21,Deep,4/4/10,2010,2010
2484,Jarvis,JAR-00109,Forereef,-0.36926,-160.00839,15,Mid,2/4/10,2010,2010
2470,Jarvis,JAR-00110,Forereef,-0.37784,-160.01541,14,Mid,1/4/10,2010,2010
2482,Jarvis,JAR-00111,Forereef,-0.36324,-160.00481,12.5,Mid,2/4/10,2010,2010
2492,Jarvis,JAR-00112,Forereef,-0.38199,-159.9968,13,Mid,3/4/10,2010,2010
2486,Jarvis,JAR-00113,Forereef,-0.38041,-159.9736,9,Mid,3/4/10,2010,2010
2501,Jarvis,JAR-00114,Forereef,-0.38211,-159.97876,10,Mid,4/4/10,2010,2010
2511,Jarvis,JAR-00115,Forereef,-0.36171,-159.99718,12.5,Mid,5/4/10,2010,2010
2494,Jarvis,JAR-00116,Forereef,-0.37688,-159.97496,11,Mid,3/4/10,2010,2010
2503,Jarvis,JAR-00117,Forereef,-0.3703,-159.97868,8,Mid,4/4/10,2010,2010
2505,Jarvis,JAR-00118,Forereef,-0.37413,-159.9772,10,Mid,4/4/10,2010,2010
2483,Jarvis,JAR-00119,Forereef,-0.36564,-160.00621,5,Shallow,2/4/10,2010,2010
2468,Jarvis,JAR-00120,Forereef,-0.37216,-160.01176,5,Shallow,1/4/10,2010,2010
2469,Jarvis,JAR-00121,Forereef,-0.37864,-160.01477,7.5,Shallow,1/4/10,2010,2010
2510,Jarvis,JAR-00122,Forereef,-0.36392,-159.98967,5,Shallow,5/4/10,2010,2010
2504,Jarvis,JAR-00124,Forereef,-0.37275,-159.98387,5,Shallow,4/4/10,2010,2010
2509,Jarvis,JAR-00125,Forereef,-0.36258,-159.99838,5.5,Shallow,5/4/10,2010,2010
2488,Jarvis,JAR-00126,Forereef,-0.38155,-160.00661,6,Shallow,3/4/10,2010,2010
2489,Jarvis,JAR-00127,Forereef,-0.38138,-160.0015,5.5,Shallow,3/4/10,2010,2010
2500,Jarvis,JAR-00128,Forereef,-0.3781,-159.98282,6,Shallow,4/4/10,2010,2010
2499,Jarvis,JAR-00129,Forereef,-0.38149,-159.98836,5,Shallow,4/4/10,2010,2010
4878,Jarvis,JAR-00201,Forereef,-0.37907517,-159.9714753,24.9,Deep,6/5/12,2012,2012
4848,Jarvis,JAR-00207,Forereef,-0.38170751,-160.0115455,21.95,Deep,4/5/12,2012,2012
4852,Jarvis,JAR-00211,Forereef,-0.36151542,-160.0022822,23.9,Deep,5/5/12,2012,2012
4862,Jarvis,JAR-00213,Forereef,-0.3695431,-159.9768091,22.8,Deep,5/5/12,2012,2012
4821,Jarvis,JAR-00215,Forereef,-0.37098932,-160.0102004,21,Deep,3/5/12,2012,2012
4859,Jarvis,JAR-00216,Forereef,-0.36482392,-159.98407,22.65,Deep,5/5/12,2012,2012
4841,Jarvis,JAR-00217,Forereef,-0.37353649,-159.9729623,25.5,Deep,4/5/12,2012,2012
4827,Jarvis,JAR-00218,Forereef,-0.38190448,-159.9980154,22.95,Deep,3/5/12,2012,2012
4857,Jarvis,JAR-00219,Forereef,-0.36158532,-159.9990215,12.3,Mid,5/5/12,2012,2012
4855,Jarvis,JAR-00220,Forereef,-0.36359539,-160.0051169,14,Mid,5/5/12,2012,2012
4861,Jarvis,JAR-00221,Forereef,-0.37517608,-159.9800725,7.6,Mid,5/5/12,2012,2012
4830,Jarvis,JAR-00223,Forereef,-0.38226591,-159.9817058,10.85,Mid,3/5/12,2012,2012
4877,Jarvis,JAR-00224,Forereef,-0.36687045,-159.9824493,6.85,Mid,6/5/12,2012,2012
4860,Jarvis,JAR-00225,Forereef,-0.37326961,-159.9785671,8.35,Mid,5/5/12,2012,2012
4831,Jarvis,JAR-00228,Forereef,-0.38225803,-160.0023083,14.85,Mid,3/5/12,2012,2012
4842,Jarvis,JAR-00229,Forereef,-0.36895033,-159.9801929,6.95,Mid,4/5/12,2012,2012
4824,Jarvis,JAR-00230,Forereef,-0.37956157,-160.0156624,15.85,Mid,3/5/12,2012,2012
4843,Jarvis,JAR-00231,Forereef,-0.37166121,-159.9760771,7.45,Mid,4/5/12,2012,2012
4864,Jarvis,JAR-00233,Forereef,-0.37379348,-159.9762593,10.3,Mid,5/5/12,2012,2012
4858,Jarvis,JAR-00235,Forereef,-0.36305635,-159.991007,12.9,Mid,5/5/12,2012,2012
4876,Jarvis,JAR-00236,Forereef,-0.36362682,-159.9885748,11.95,Mid,6/5/12,2012,2012
4853,Jarvis,JAR-00237,Forereef,-0.36223023,-159.9962362,10.05,Mid,5/5/12,2012,2012
4863,Jarvis,JAR-00239,Forereef,-0.37415424,-159.9747113,7.5,Mid,5/5/12,2012,2012
4845,Jarvis,JAR-00241,Forereef,-0.37950801,-159.9734886,10.65,Mid,4/5/12,2012,2012
4883,Jarvis,JAR-00242,Forereef,-0.37730684,-159.9758031,9,Mid,6/5/12,2012,2012
4822,Jarvis,JAR-00243,Forereef,-0.37193396,-160.0114638,10.05,Mid,3/5/12,2012,2012
4844,Jarvis,JAR-00245,Forereef,-0.37500517,-159.9757141,11.05,Mid,4/5/12,2012,2012
4884,Jarvis,JAR-00246,Forereef,-0.37850327,-159.9772704,7.55,Mid,6/5/12,2012,2012
4846,Jarvis,JAR-00247,Forereef,-0.38190415,-159.97833,10.2,Mid,4/5/12,2012,2012
4849,Jarvis,JAR-00249,Forereef,-0.37199732,-160.0105315,4,Shallow,4/5/12,2012,2012
4825,Jarvis,JAR-00255,Forereef,-0.38107224,-160.0096442,4.25,Shallow,3/5/12,2012,2012
4879,Jarvis,JAR-00257,Forereef,-0.36924806,-159.9842439,4.35,Shallow,6/5/12,2012,2012
4828,Jarvis,JAR-00259,Forereef,-0.37919512,-159.9816022,6.75,Shallow,3/5/12,2012,2012
4886,Jarvis,JAR-00261,Forereef,-0.375579,-160.0132303,5.15,Shallow,6/5/12,2012,2012
